"MOVIE_ID","NAME","ALIAS","ACTORS","COVER","DIRECTORS","DOUBAN_SCORE","DOUBAN_VOTES","GENRES","IMDB_ID","LANGUAGES","MINS","OFFICIAL_SITE","REGIONS","RELEASE_DATE","SLUG","STORYLINE","TAGS","YEAR","ACTOR_IDS","DIRECTOR_IDS"
"1291842","当哈利遇到莎莉","90男欢女爱 / 当哈利遇到萨莉 / 当哈利碰上莎莉 / 当哈里遇上莎丽 / 当哈里遇见萨莉","梅格·瑞恩/比利·克里斯托/凯丽·费雪/布鲁诺·柯比","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2172960925.jpg","罗伯·莱纳","8.3","103174","剧情/喜剧/爱情","tt0098635","英语","96","","美国","1989-07-21","airaaEnba","莎莉（梅格·瑞恩 饰）开车载哈利（比利·克里斯托 饰）前往纽约，两人就此相识。途中二人言语相左，不欢而散，并留下经典的问题：“排除‘性’的介入，男人和女人可以成为真正的朋友么？”","爱情/美国/喜剧/浪漫/经典/美国电影/Meg-Ryan/1989","1989","梅格·瑞恩:1016679|比利·克里斯托:1031893|凯丽·费雪:1027813|布鲁诺·柯比:1048184","罗伯·莱纳:1031903"
"1291850","站台","","王宏伟/赵涛/梁景东/杨荔钠/韩三明","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910910474.jpg","贾樟柯","8.3","41225","剧情/历史","tt0258885","汉语普通话 / 晋语","154","","中国大陆 / 中国香港 / 日本 / 法国","2000-09-04","MuaEZJ3ba","崔明亮（王宏伟）、尹瑞娟（赵涛）、张军（梁景东）、钟萍（杨天乙）是山西汾阳县文工团的演员，改革开放初期，他们过的虽是普普通通的日子，却拥有相对丰盈的精神世界。改革开放的不断深入令他们见识到了各种新鲜事物，也使他们对自身有了更多的认识，走上了不同的人生道路。然而当时间来到 1980年末时，他们发现虽然各自早已面目全非，却仍然一无所有。","贾樟柯/文艺/大陆/中国电影/青春/中国/站台/賈樟柯","2000","王宏伟:1275506|赵涛:1005985|梁景东:1349017|杨荔钠:1301413|韩三明:1322999","贾樟柯:1274261"
"1291863","追捕","越过愤怒的河 / 你一定要趟过愤怒的河","高仓健/原田芳雄/西村晃/中野良子/田中邦卫/倍赏美津子","https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2198650728.jpg","佐藤纯弥","8.2","20207","剧情/动作/犯罪","tt0327002","日语","151","","日本","","YBmjFvERe","为人正直的检查官杜丘（高仓健 饰）被人控告犯有抢劫、强奸罪，自知清白的他为了洗清冤屈，开始了一边躲避警察追捕、一边查找事实真相的逃亡。","高仓健/日本/日本电影/经典/悬疑/犯罪/动作/剧情","1976","高仓健:1007153|原田芳雄:1032754|西村晃:1008337|中野良子:1046781|田中邦卫:1040946|倍赏美津子:1042205","佐藤纯弥:1296738"
"1291879","罗生门","","三船敏郎/千秋实/京町子/森雅之/志村乔","https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1864872647.jpg","黑泽明","8.8","178114","剧情/悬疑/犯罪","tt0042876","日语","88","","日本","1950-08-26","AAAm72raa","罗生门，日本京都的正南门。云游和尚、砍柴人和乞丐在城门底下避雨，三人闲聊，话题开始，故事的序幕拉开：一个武士和他妻子路过荒山，遭遇了不测。妻子被侮辱，而武士惨遭杀害。惨案如何酿成？凶手、妻子、借武士亡魂来做证的女巫，都各有说法。","黑泽明/日本/人性/经典/日本电影/罗生门/剧情/1950","1950","三船敏郎:1056027|千秋实:1023321|京町子:1000844|森雅之:1014668|志村乔:1032411","黑泽明:1054529"
"1291999","重庆森林 - 电影","","林青霞/金城武/梁朝伟/王菲/周嘉玲","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg","王家卫","0.0","469585.0","剧情/爱情","tt0109424","粤语 / 汉语普通话 / 英语 / 印地语 / 日语","102.0","","香港","1994-07-14","RIBIJJ3zb","编号为223的警察（金城武）失恋后患上失恋综合症，在与金发女杀手（林青霞）擦肩而过又离奇相遇并有了一晚温情后，原本以为包括“爱情”在内的所有东西都有保质期的他意外地迎来心灵的短暂温暖。可是，他们的爱情还是结束了。","王家卫/王菲/重庆森林/爱情/梁朝伟/香港/香港电影/金城武","1994.0","",""
"1292047","蓝白红三部曲之红 - 电影","红 / 红色情深 / 三色之红色篇 / 三色：红 / 红色","伊莲娜·雅各布/让-路易·特兰蒂尼昂/弗雷德里奎·费德/让-皮耶·罗利特/塞缪尔·勒·比汉/马里恩·斯泰伦斯/特科·切里奥/伯纳德·埃斯卡隆/让·施莱格尔/埃尔兹别塔·亚辛斯卡/保罗·弗梅伦/让-马利·道纳斯/罗兰·凯里/朱丽叶·比诺什/贝努特·里格恩特/朱莉·德尔佩/泽比纽·扎马洲斯基","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173726043.jpg","克日什托夫·基耶斯洛夫斯基","0.0","72188.0","剧情/爱情/悬疑","tt0111495","法语","99.0","","法国 / 波兰 / 瑞士","1994-05-12","NeiFvyVfa","女学生瓦伦丁（伊莲娜·雅各布 Irène Jacob饰）是个兼职模特，男朋友远在英国。尽管她非常珍惜这段感情，却无法阻止男友对自己的猜忌。","法国/文艺/爱情/波兰/1994/剧情/经典/人性","1994.0","",""
"1292067","冰血暴","雪花高离奇命案(港) / 笨贼满天飞 / 法高镇 / 法尔戈 / 冰雪暴","威廉姆·H·梅西/史蒂夫·布西密/彼得·斯特曼/弗兰西斯·麦克多蒙德/哈威·普雷斯内尔/梅莉莎·彼得曼/史蒂夫·里维斯/拉里·布兰登伯格/约翰·卡洛·林奇/斯蒂夫·朴","https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2178583078.jpg","乔尔·科恩","7.9","56125","剧情/惊悚/犯罪","tt0116282","英语","98","","美国 / 英国","1996-03-08","6AIvqqyVf","汽车经理谢利（威廉姆·H·梅西 William H. Macy 饰）有一个完美的兴建停车场的计划，他多次找他的有钱岳父威利借钱，可是一毛不拔的威利始终没答应。无奈之下，谢利只有找到卡奥（史蒂夫·布西密 Steve Buscemi 饰）和基亚（彼得·斯特曼 Peter Stormare 饰），请他们绑架自己的妻子以勒索威利100万，事成后给他两4万酬金。3人一拍即合。","科恩兄弟/犯罪/美国/黑色/剧情/1996/美国电影/黑色幽默","1996","威廉姆·H·梅西:1031892|史蒂夫·布西密:1054409|彼得·斯特曼:1049549|弗兰西斯·麦克多蒙德:1010548|哈威·普雷斯内尔:1049898|梅莉莎·彼得曼:1127870|史蒂夫·里维斯:1022924|拉里·布兰登伯格:1074035|约翰·卡洛·林奇:1025224|斯蒂夫·朴:1314786","乔尔·科恩:1054517"
"1292222","出租车司机","的士司机 / 计程车司机 / 出租汽车司机","罗伯特·德尼罗/朱迪·福斯特/斯碧尔·谢波德/艾伯特·布鲁克斯/哈威·凯特尔/戴安娜·阿伯特/维克多·阿尔果/吉诺·阿迪托/彼得·博伊尔/布伦达·迪克森","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792510233.jpg","马丁·斯科塞斯","8.4","128604","剧情/犯罪","tt0075314","英语 / 西班牙语","113","","美国","1976-02-08","3r6QuiVBe","特拉维斯（罗伯特·德尼罗 Robert De Niro 饰）从越战中退伍回来后一直在纽约以开出租车为生。战争后的他多少有些失落，加上开出租车目睹了纽约夜幕下的种种罪恶，令他变得愤世嫉俗、痛恨社会。在追求总统候选人帕兰坦竞选办公室的秘书贝西失败后，特拉维斯决定去刺杀帕兰坦 以证明自己。","美国/经典/暴力/剧情/犯罪/1976/人性/黑色","1976","罗伯特·德尼罗:1054445|朱迪·福斯特:1031222|斯碧尔·谢波德:1007016|艾伯特·布鲁克斯:1010594|哈威·凯特尔:1048131|戴安娜·阿伯特:1055612|维克多·阿尔果:1041397|吉诺·阿迪托:1059449|彼得·博伊尔:1054868|布伦达·迪克森:1005363","马丁·斯科塞斯:1054425"
"1292223","七宗罪 - 电影","火线追缉令(台) / 7宗罪","摩根·弗里曼/布拉德·皮特/凯文·史派西/格温妮斯·帕特洛/安德鲁·凯文·沃克/约翰·卡西尼/雷格·E·凯蒂/李·厄米","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457631605.jpg","大卫·芬奇","0.0","591327.0","剧情/悬疑/惊悚/犯罪","tt0114369","英语 / 葡萄牙语","127.0","","美国","1995-09-22","JRI3jNeyb","“暴食”、“贪婪”、“懒惰”、“嫉妒”、“骄傲”、“淫欲”、“愤怒”，这是天主教教义所指的人性七宗罪。城市中发生的连坏杀人案，死者恰好都是犯有这些教义的人。凶手故弄玄虚的作案手法，令资深冷静的警员沙摩塞（摩根•弗里曼 Morgan Freeman 饰）和血气方刚的新扎警员米尔斯（布拉德•皮特 Brad Pitt 饰）都陷入了破案的谜团中。他们去图书馆研读但丁的《神曲》，企图从人间地狱的描绘中找到线索，最后从宗教文学哲学的世界中找到了凶手作案计划和手段的蛛丝马迹。凶手前来投案自首，这令众人都松了一口气，以为案件就此结束，怎料还是逃不出七宗罪的杀人逻辑，这次凶手瞄准的目标，是那个犯了“愤怒”罪的人……","悬疑/犯罪/七宗罪/大卫·芬奇/美国/宗教/惊悚/经典","1995.0","",""
"1292238","甘地传 - 电影","甘地","本·金斯利/坎迪斯·伯根/爱德华·福克斯/约翰·吉尔古德/约翰·米尔斯/马丁·辛/丹尼尔·戴-刘易斯","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2193944770.jpg","理查德·阿滕伯勒","0.0","24875.0","剧情/传记/历史","tt0083987","英语","191.0","","英国 / 印度 / 美国","1982-12-03","Q27Q2jzNe","本片记录了印度圣雄甘地史诗般传奇伟大的一生。1893年，24岁的甘地（本•金斯利 Ben Kingsley 饰）受邀前往南非任律师职，决心在当地带领印度移民开展非暴力不合作的抗议活动，并因此入狱。出狱后甘地回到祖国，在三八朗地区建立了高僧修行所，加入了国大党领导的印度独立运动，宣传非暴力不合作的斗争理念。运动中甘地曾四次入狱；在其不懈努力及国大党的带领下，印度独立终于提上议事日程，甘地也于1931年赴伦敦参加商讨独立的圆桌会议。然而随着独立的临近，印度国内穆斯林与印度教人民之间的宗教矛盾日益突出，甘地的非暴力不合作理念又面临着更为严峻的新挑战……","传记/印度/甘地/历史/英国/人物/经典/1982","1982.0","",""
